Id,Nivel,Grado,Campos,Componentes,Organizador1,Organizador2,ApEs,Apes_Detalle,Escala_Sugerida,Indicador1,Indicador2,Indicador3,Indicador4,Observaciones,Activo
227,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Análisis de los medios de comunicación ,"Explora las secciones del periódico y elige, entre la información dada por los textos periodísticos, una noticia relevante.",Reflexiona sobre el uso de los verbos en los titulares y encabezados.,"si, no, muy frecuentemente",Reflexiona sobre el uso de los verbos en los titulares.,Reflexiona sobre el uso de los verbos en los encabezados.,,,NADA,1
228,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Análisis de los medios de comunicación ,"Explora las secciones del periódico y elige, entre la información dada por los textos periodísticos, una noticia relevante.","Distingue el uso de mayúsculas y minúsculas en las notas informativas, así como las diferencias en la tipografía.",Lo logra / En ocasiones lo logra / No lo logra,"Distingue el uso de mayúsculas en las notas informativas, así como las diferencias en la tipografía.","Distingue el uso de minúsculas en las notas informativas, así como las diferencias en la tipografía.",,,NADA,1
229,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Análisis de los medios de comunicación ,"Explora las secciones del periódico y elige, entre la información dada por los textos periodísticos, una noticia relevante.","Reflexiona sobre el uso de expresiones que jerarquizan la información: en primer lugar, finalmente, también, entre otras.","si, no, muy frecuentemente",Reflexiona sobre el uso de expresiones que jerarquizan la información: en primer lugar.,Reflexiona sobre el uso de expresiones que jerarquizan la información: finalmente.,Reflexiona sobre el uso de expresiones que jerarquizan la información: también.,,NADA,1
230,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Participación y difusión de información en la comunidad escolar,Elabora avisos para difundir algún producto o servicio entre la comunidad escolar.,Explora el periódico y ubica la sección de anuncios clasificados.,Lo logra / En ocasiones lo logra / No lo logra,Explora el período de anuncios clasificados.,Ubica la seccion de anuncios clasificados.,,,NADA,1
231,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Participación y difusión de información en la comunidad escolar,Elabora avisos para difundir algún producto o servicio entre la comunidad escolar.,"Identifica cómo se organizan los apartados de la sección: Inmuebles, Menaje de casa, Autos, Servicios, Empleos.",Lo logra / En ocasiones lo logra / No lo logra,Identifica cómo se organizan los apartados de la sección: Inmuebles,Identifica cómo se organizan los apartados de la sección: Menaje de casa.,Identifica cómo se organizan los apartados de la sección: Autos.,Identifica cómo se organizan los apartados de la sección: Servicios.,NADA,1
232,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Participación y difusión de información en la comunidad escolar,Elabora avisos para difundir algún producto o servicio entre la comunidad escolar.,"Lee anuncios de los diversos apartados y reconoce cómo estructuran el discurso para promover empleos, servicios o la compraventa de artículos, así como los datos que incluyen.",Lo logra / En ocasiones lo logra / No lo logra,"Lee anuncios de los diversos apartados para promover empleos, servicios o la compraventa de artículos, así como los datos que incluyen.","Reconoce cómo estructuras el discurso para promover empleos, servicios o la compraventa de artículos, así como los datos que incluyen.",,,NADA,1
233,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Participación y difusión de información en la comunidad escolar,Elabora avisos para difundir algún producto o servicio entre la comunidad escolar.,Escribe un anuncio clasificado para promover un producto o servicio de algún miembro de su familia o comunidad.,Lo logra / En ocasiones lo logra / No lo logra,Escribe un anuncio clasificado para promover un producto de algún miembro de su familia.,Escribe un anuncio clasificado para promover un producto de algún miembro de su comunidad.,Escribe un anuncio clasificado para promover un servicio de algún miembro de su familia.,Escribe un anuncio clasificado para promover un servicio de algún miembro de su comunidad.,NADA,1
234,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Participación y difusión de información en la comunidad escolar,Elabora avisos para difundir algún producto o servicio entre la comunidad escolar.,"Reflexiona y distingue la escritura de un anuncio clasificado, por su brevedad y la información que contiene, de otros tipos de texto (informativos o literarios).","Frecuentemente, poco, nunca",Reflexiona sobre los tipos de texto: informativos o literario.,"Distingue la escritura de un anuncio clasificado, por su brevedad y la información que contiene.",,,NADA,1
235,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Participación y difusión de información en la comunidad escolar,Elabora avisos para difundir algún producto o servicio entre la comunidad escolar.,Utiliza adecuadamente signos de puntuación como el punto y la coma.,"si, no, muy frecuentemente",Utiliza adecuadamente signos de puntuación como el punto.,Utiliza adecuadamente signos de puntuación como la coma.,,,NADA,1
236,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Reconocimiento de la diversidad lingüistica y cultural,Explora el vocabulario de varias generaciones en la localidad.,Identifica algunas variedades del espa~nol en México.,Lo logra / En ocasiones lo logra / No lo logra,Identifica algunas variedades del espa~nol en México.,,,,NADA,1
237,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Reconocimiento de la diversidad lingüistica y cultural,Explora el vocabulario de varias generaciones en la localidad.,"Indaga y comprende el significado de diversas expresiones en el habla de ni~nos, jóvenes, adultos y adultos mayores.",Lo logra / En ocasiones lo logra / No lo logra,Indaga y comprende el significado de diversas expresiones en el habla de ni~nos.,Indaga y comprende el significado de diversas expresiones en el habla de jóvenes.,Indaga y comprende el significado de diversas expresiones en el habla de adultos.,Indaga y comprende el significado de diversas expresiones en el habla de adultos mayores.,NADA,1
238,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Reconocimiento de la diversidad lingüistica y cultural,Explora el vocabulario de varias generaciones en la localidad.,Identifica distintas situaciones en las que se usan ciertas expresiones o palabras.,Lo logra / En ocasiones lo logra / No lo logra,Identifica distintas situaciones en las que se usan ciertas expresiones.,Identifica distintas situaciones en las que se usan ciertas palabras.,,,NADA,1
239,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Reconocimiento de la diversidad lingüistica y cultural,Explora el vocabulario de varias generaciones en la localidad.,Reflexiona sobre el uso de la coma para enumerar características o elementos.,"Frecuentemente, poco, nunca",Reflexiona sore el uso de la coma para enumerar características.,Reflexiona sore el uso de la coma para enumerar elementos.,,,NADA,1
240,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Reconocimiento de la diversidad lingüistica y cultural,Explora el vocabulario de varias generaciones en la localidad.,Expone ante el grupo sus indagaciones.,Lo logra / En ocasiones lo logra / No lo logra,Expone ante el grupo sus indagaciones.,,,,NADA,1
241,Primaria,3,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Participación social,Reconocimiento de la diversidad lingüistica y cultural,Explora el vocabulario de varias generaciones en la localidad.,Participa como parte de la audiencia.,"Frecuentemente, poco, nunca",Participa como parte de la audiencia.,,,,NADA,1
242,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Escribe recomendaciones para invitar a la lectura de distintos materiales.,Elige algún texto para recomendar.,"Frecuentemente, poco, nunca",Elige algú n texto para recomendar.,,,,NADA,1
243,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Escribe recomendaciones para invitar a la lectura de distintos materiales.,"Ubica datos e información relevantes en la portada, el índice y las secciones de un libro.",Lo logra / En ocasiones lo logra / No lo logra,Ubica datos relevantes en la portada.,Ubica datos relevantes en lel índice.,Ubica datos relevantes en las secciones de un libro.,Ubica información relevantes en la portada.,NADA,1
244,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Escribe recomendaciones para invitar a la lectura de distintos materiales.,Comenta con sus compa~neros las razones por las que recomendaría la lectura del texto seleccionado.,"Frecuentemente, poco, nunca",Comenta con sus compa~neros las razones por las que recomendaría la lectura de un texto que el/ella seleccionó.,,,,NADA,1
245,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Escribe recomendaciones para invitar a la lectura de distintos materiales.,Presenta por escrito su recomendación.,Lo logra / En ocasiones lo logra / No lo logra,Presenta por escrito su recomendación.,,,,NADA,1
246,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio de experiencias de lectura,Escribe recomendaciones para invitar a la lectura de distintos materiales.,Considera el punto de vista de los demás.,"si, no, muy frecuentemente",Considera el punto de vista de los demás.,,,,NADA,1
247,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos ,Lee textos informativos breves y analiza su organización.,Se familiariza con la organización de materiales informativos con el fin de conocer su organización.,Lo logra / En ocasiones lo logra / No lo logra,Se familiariza con la organización de materiales informativos.,Se familiariza con la organización de materiales informativos con el fin de conocer su organización.,,,NADA,1
248,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos ,Lee textos informativos breves y analiza su organización.,Considera los datos de la portada para hacer anticipaciones acerca del contenido.,Lo logra / En ocasiones lo logra / No lo logra,Considera los datos de la portada para hacer anticipaciones acerca del contenido del libro.,,,,NADA,1
249,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos ,Lee textos informativos breves y analiza su organización.,"Interpreta, de acuerdo con sus posibilidades, elementos que organizan el contenido: tipografía, uso de espacios en la página y vi~netas.",Lo logra / En ocasiones lo logra / No lo logra,"Interpreta, de acuerdo con sus posibilidades, elementos que organizan el contenido: tipografía.","Interpreta, de acuerdo con sus posibilidades, elementos que organizan el contenido: uso de espacios en la página.","Interpreta, de acuerdo con sus posibilidades, elementos que organizan el contenido: vi~netas",,NADA,1
250,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos ,Lee textos informativos breves y analiza su organización.,Comprende la información contenida en cuadros de frecuencia y de resumen sencillos.,"si, no, muy frecuentemente",Comprende la información contenida en cuadros de frecuencia.,Comprende la información contenida en un resumen sencillo.,,,NADA,1
251,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos ,Lee textos informativos breves y analiza su organización.,Reflexiona sobre el uso de diagramas o cuadros para resumir y ordenar información.,"Frecuentemente, poco, nunca",Reflexiona sobre el uso de diagramas para resumir información.,Reflexiona sobre el uso de diagramas para ordenar información.,Reflexiona sobre el uso de cuadros para resumir información.,Reflexiona sobre el uso de cuadros para ordenar información.,NADA,1
252,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Comprensión de textos para adquirir nuevos conocimientos ,Lee textos informativos breves y analiza su organización.,Infiere el significado de palabras desconocidas a partir de la información contextual de un texto.,"si, no, muy frecuentemente",Infiere el significado de palaras desconocidas a partir de la información contextual de un texto.,,,,NADA,1
253,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Elaboración de textos que presentan información resumida proveniente de diversas fuentes,Elabora resúmenes en los que se describen acontecimientos históricos.,Localiza un texto en el que se describan acontecimientos históricos.,Lo logra / En ocasiones lo logra / No lo logra,Localiza un texto en el que describan acontecimientos históricos.,,,,NADA,1
254,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Elaboración de textos que presentan información resumida proveniente de diversas fuentes,Elabora resúmenes en los que se describen acontecimientos históricos.,Escribe notas personales para conservar información de interés al leer.,Lo logra / En ocasiones lo logra / No lo logra,Escribe notas personales para conservar información de interés al leer.,,,,NADA,1
255,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Elaboración de textos que presentan información resumida proveniente de diversas fuentes,Elabora resúmenes en los que se describen acontecimientos históricos.,"Decide cuál es la información relevante según el propósito de estudio o búsqueda, y cuáles pueden ser los recursos pertinentes para registrarla: diagramas con rótulos, listas, fichas temáticas, etcétera.","Frecuentemente, poco, nunca",Decide cuál es la información relevante según el propósito de estudio.,Decide cuál es la información relevante según el propósito de búsqueda.,Decide cuáles pueden ser los recursos pertinentes para registra información relevante: listas,Decide cuáles pueden ser los recursos pertinentes para registra información relevante: diagramas con rótulos.,NADA,1
256,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Elaboración de textos que presentan información resumida proveniente de diversas fuentes,Elabora resúmenes en los que se describen acontecimientos históricos.,Reconstruye secuencias de sucesos y establece relaciones temporales.,Lo logra / En ocasiones lo logra / No lo logra,Reconstruye secuencias de sucesos y extablece relaciones temporales.,,,,NADA,1
257,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Elaboración de textos que presentan información resumida proveniente de diversas fuentes,Elabora resúmenes en los que se describen acontecimientos históricos.,Identifica rasgos característicos de los personajes centrales.,Lo logra / En ocasiones lo logra / No lo logra,Identifica rasgos carcaterísticos de los personajes centrales.,,,,NADA,1
258,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Elaboración de textos que presentan información resumida proveniente de diversas fuentes,Elabora resúmenes en los que se describen acontecimientos históricos.,Elabora párrafos de resumen coherentes para concentrar la información.,Lo logra / En ocasiones lo logra / No lo logra,Elabora párrafos de resumen coherentes para concentrar la información.,,,,NADA,1
259,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Elaboración de textos que presentan información resumida proveniente de diversas fuentes,Elabora resúmenes en los que se describen acontecimientos históricos.,Utiliza el punto y aparte para organizar la información en párrafos.,"si, no, muy frecuentemente",Utiliza el punto y aparte para organizar la información en párrafos.,,,,NADA,1
260,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Elaboración de textos que presentan información resumida proveniente de diversas fuentes,Elabora resúmenes en los que se describen acontecimientos históricos.,Parafrasea la información.,Lo logra / En ocasiones lo logra / No lo logra,Parafrase la información.,,,,NADA,1
261,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Elaboración de textos que presentan información resumida proveniente de diversas fuentes,Elabora resúmenes en los que se describen acontecimientos históricos.,Utiliza el presente histórico en las descripciones.,Lo logra / En ocasiones lo logra / No lo logra,Utiliza el presente histórico en las descripciones.,,,,NADA,1
262,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio oral de experiencias y nuevos conocimientos ,Presenta una exposición relacionada con algún acontecimiento histórico.,Recopila información de diversas fuentes (orales o escritas) para preparar una exposición. (Para presentar la exposición),"si, no, muy frecuentemente",Recopila información de diversas fuentes orales para preparar una exposición.,Recopila información de diversas fuentes escritas para preparar una exposición.,,,NADA,1
263,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio oral de experiencias y nuevos conocimientos ,Presenta una exposición relacionada con algún acontecimiento histórico.,"Examina la información repetida, complementaria o irrelevante que encuentra en las diversas fuentes. (Para presentar la exposición)","Frecuentemente, poco, nunca","Examina la información repetida, que encuentra en las diversas fuentes.","Examina la información complementaria, que encuentra en las diversas fuentes.","Examina la información irrelevante, que encuentra en las diversas fuentes.",,NADA,1
264,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio oral de experiencias y nuevos conocimientos ,Presenta una exposición relacionada con algún acontecimiento histórico.,Presenta la información de manera organizada. (Para presentar la exposición),Lo logra / En ocasiones lo logra / No lo logra,Presenta la información de manera organizada.,,,,NADA,1
265,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio oral de experiencias y nuevos conocimientos ,Presenta una exposición relacionada con algún acontecimiento histórico.,Explica con claridad el acontecimiento y sus protagonistas. (Para presentar la exposición),Lo logra / En ocasiones lo logra / No lo logra,Explica con claridad el acontecimiento.,Explica con claridad el acontecimiento y sus protagonistas.,,,NADA,1
266,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio oral de experiencias y nuevos conocimientos ,Presenta una exposición relacionada con algún acontecimiento histórico.,Se vale de recursos gráficos para enriquecer su presentación. (Para presentar la exposición),"si, no, muy frecuentemente",Se vale de recursos gráficos para enriquecer su presentación.,,,,NADA,1
267,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio oral de experiencias y nuevos conocimientos ,Presenta una exposición relacionada con algún acontecimiento histórico.,Mantiene la atención de la audiencia. (Para presentar la exposición),Lo logra / En ocasiones lo logra / No lo logra,Mantiene la atención de la audiencia.,,,,NADA,1
268,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio oral de experiencias y nuevos conocimientos ,Presenta una exposición relacionada con algún acontecimiento histórico.,Aclara las dudas que plantean sus compa~neros acerca de la exposición.  (Para presentar la exposición),"Frecuentemente, poco, nunca",Aclara las dudas que plantean sus compa~neros acerca de la exposición.,,,,NADA,1
269,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio oral de experiencias y nuevos conocimientos ,Presenta una exposición relacionada con algún acontecimiento histórico.,Escucha con atención. (Al atender las exposiciones),Lo logra / En ocasiones lo logra / No lo logra,Escucha con atención atendiendo las exposiciones de sus compa~neros.,,,,NADA,1
270,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio oral de experiencias y nuevos conocimientos ,Presenta una exposición relacionada con algún acontecimiento histórico.,Formula preguntas sobre lo que no entendió o desea profundizar. (Al atender las exposiciones),"Frecuentemente, poco, nunca",Formula preguntas sobre lo que no entendió al atender las exposiciones de sus compa~neros.,Formula preguntas sobre lo quedesea profundizar al atender las exposiciones de sus compa~neros.,,,NADA,1
271,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio oral de experiencias y nuevos conocimientos ,Presenta una exposición relacionada con algún acontecimiento histórico.,Toma notas. (Al atender las exposiciones),Lo logra / En ocasiones lo logra / No lo logra,Toma notas al atender las exposiciones.,,,,NADA,1
272,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio escrito de nuevos conocimientos ,Escribe textos en los que describe algún personaje relevante para la historia.,Escribe textos en los que se describe algún personaje relevante.,Lo logra / En ocasiones lo logra / No lo logra,Escribe textos en los que se describe algún personaje relevante.,,,,NADA,1
273,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio escrito de nuevos conocimientos ,Escribe textos en los que describe algún personaje relevante para la historia.,Identifica y pone por escrito los rasgos característicos del personaje.,Lo logra / En ocasiones lo logra / No lo logra,Identifica los rasgos característicos del personaje.,Pone por escrito los rasgos característicos del personaje.,,,NADA,1
274,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio escrito de nuevos conocimientos ,Escribe textos en los que describe algún personaje relevante para la historia.,"Decide cuál es el mejor portador para compartir su texto de acuerdo con su propósito comunicativo (folleto, revista de divulgación, cartel, periódico escolar, etcétera).","si, no, muy frecuentemente",Decide cúal es mejor portador para compartir su texto de acuerdo con su propósito comunicativo: folleto.,Decide cúal es mejor portador para compartir su texto de acuerdo con su propósito comunicativo: revista de divulgación.,Decide cúal es mejor portador para compartir su texto de acuerdo con su propósito comunicativo: cartel,Decide cúal es mejor portador para compartir su texto de acuerdo con su propósito comunicativo: periódico escolar.,NADA,1
275,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio escrito de nuevos conocimientos ,Escribe textos en los que describe algún personaje relevante para la historia.,Usa mayúsculas al inicio de las oraciones y de los nombres propios.,"Frecuentemente, poco, nunca",Usa mayúsculas al inicio de las oraciones.,Usa mayúsculas al inicio de los nombres propios.,,,NADA,1
276,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Estudio,Intercambio escrito de nuevos conocimientos ,Escribe textos en los que describe algún personaje relevante para la historia.,Reflexiona sobre el uso de la coma para enumerar características o elementos.,"Frecuentemente, poco, nunca",Reflexiona sobre el uso de la coma para enumerar carcaterísticas.,Reflexiona sobre el uso de la coma para enumerar elementos.,,,NADA,1
277,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,Lee narraciones de la tradición literaria infantil.,"Describe los personajes de un cuento; tiene en cuenta sus características sociales (jerarquía, oficio, pertenencia a una familia o un grupo, etcétera), sus intenciones y forma de ser (bueno, malo, agresivo, tierno, etcétera) para explicar o anticipar sus acciones.",Lo logra / En ocasiones lo logra / No lo logra,"Describe los personajes de un cuento: tiene en cuenta sus carcaterísticas sociales (jerarquía, oficio, pertenencia a una familia o grupo, etcétera) para explicar sus acciones.","Describe los personajes de un cuento: tiene en cuenta sus carcaterísticas sociales (jerarquía, oficio, pertenencia a una familia o grupo, etcétera) para anticipar sus acciones.","Describe los personajes de un cuento: tiene en cuenta sus intenciones y forma de ser (bueno, malo, agresivo, tierno, etcétera) para explicar sus acciones.","Describe los personajes de un cuento: tiene en cuenta sus intenciones y forma de ser (bueno, malo, agresivo, tierno, etcétera) para anticipar sus acciones.",NADA,1
278,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,Lee narraciones de la tradición literaria infantil.,"Explica las relaciones entre los personajes y su influencia en el desarrollo de la historia: amor, apoyo, cuidado, alianza, lucha, poder, sumisión, etcétera.",Lo logra / En ocasiones lo logra / No lo logra,Explica las relaciones entre los personajes y su influencia en el desarrollo de la historia: amor.,Explica las relaciones entre los personajes y su influencia en el desarrollo de la historia: apoyo.,Explica las relaciones entre los personajes y su influencia en el desarrollo de la historia: cuidado.,Explica las relaciones entre los personajes y su influencia en el desarrollo de la historia: alianza.,NADA,1
279,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,Lee narraciones de la tradición literaria infantil.,Establece semejanzas y diferencias entre personajes de diversos cuentos e identifica los rasgos y situaciones recurrentes de personajes típicos.,"Frecuentemente, poco, nunca",Establece semejanzas entre personajes de diversos cuentos.,Establece diferencias entre personajes de diversos cuentos.,Identifica los rasgos recurrentes de personajes típicos.,Identifica las situaciones recurrentes de personajes típicos.,NADA,1
280,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,Lee narraciones de la tradición literaria infantil.,"Describe los espacios en que se desarrolla la historia y los relaciona con las características de los personajes y el tipo de hechos que ahí ocurren (bosque, castillo, celda, etcétera).",Lo logra / En ocasiones lo logra / No lo logra,Describe los espacios en que se desarrolla la historia y los relaciona con las características de los personajes.,"Describe los espacios en que se desarrolla la historia y los relaciona con el tipo de hechos que ahí ocurren (bosque, castillo, celda, etcétera)",,,NADA,1
281,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,Lee narraciones de la tradición literaria infantil.,"Establece relaciones temporales (duración, sucesión y simultaneidad) y causales entre acontecimientos del relato; reconstruye su trama.","Frecuentemente, poco, nunca","Establece relaciones temporales (duración, sucesión y minultaneidad) entre acontecimientos del relato; reconstruye su trama.",Establece relaciones causales entre acontecimientos del relato; reconstruye su trama.,,,NADA,1
282,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Lectura de narraciones de diversos subgéneros,Lee narraciones de la tradición literaria infantil.,"Expresa su interpretación de las imágenes, vinculándolas con lo escrito, en cuentos ilustrados y libros álbum.",Lo logra / En ocasiones lo logra / No lo logra,"Expresa su interpretación de las imágenes, vinculándolas con lo escrito, en cuentos ilustrados.","Expresa su interpretación de las imágenes, vinculándolas con lo escrito, en libros álbum.",,,NADA,1
283,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,Escribe narraciones de invención propia.,"Plantea una historia con una secuencia causal de acontecimientos que parten de una situación problemática inicial y desembocan en su solución o en el fracaso de los personajes. Toma como modelo situaciones y tramas conocidas, pero les aporta elementos originales.","si, no, muy frecuentemente",Plantea una historia con una secuencua causal de acontecimientos que parten de una situación problemática inicial y desembocan en su solución de los personajes.,Plantea una historia con una secuencua causal de acontecimientos que parten de una situación problemática inicial y desembocan en el fracaso de los personajes.,"Toma como modelo situaciones conocidas, pero les aporta elementos originales.","Toma como modelo tramas conocidas, pero les aporta elementos originales.",NADA,1
284,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,Escribe narraciones de invención propia.,"Desarrolla personajes con características que los identifican (intenciones, posición social, forma de ser) y que mantienen relaciones de lucha y de alianza entre ellos, de acuerdo con esquemas recurrentes en otras historias.",Lo logra / En ocasiones lo logra / No lo logra,"Desarrolla personajes con características que los identifican (intenciones, posición social , forma de ser) y que mantienen relaciones de lucha entre ellos, de acuerdo con esquemas recurrentes en otras historias.","Desarrolla personajes con características que los identifican (intenciones, posición social , forma de ser) y que mantienen relaciones de alianza entre ellos, de acuerdo con esquemas recurrentes en otras historias.",,,NADA,1
285,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,Escribe narraciones de invención propia.,Presenta espacios físicos y sociales que dan contexto a la historia; considera los ambientes de historias similares.,Lo logra / En ocasiones lo logra / No lo logra,Presenta espacios físicos que dan contexto a la hitoria; considera los ambientes de historias similares.,Presenta espacios sociales que dan contexto a la hitoria; considera los ambientes de historias similares.,,,NADA,1
286,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,Escribe narraciones de invención propia.,"Planea, escribe y revisa su texto, utilizando fórmulas recurrentes en otros cuentos para dar continuidad a la historia, así como presentar y describir personajes y acontecimientos.","si, no, muy frecuentemente","Planea su texto, utilizando fórmulas recurrentes en otros cuentos para dar continuidad a la historia, así como presentar y describir personajes y acontecimientos.","Escribe su texto, utilizando fórmulas recurrentes en otros cuentos para dar continuidad a la historia, así como presentar y describir personajes y acontecimientos.","Revisa su texto, utilizando fórmulas recurrentes en otros cuentos para dar continuidad a la historia, así como presentar y describir personajes y acontecimientos.",,NADA,1
287,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,Escribe narraciones de invención propia.,"Revisa el uso de verbos en tiempos pasados (pretérito y copretérito) para presentar acontecimientos, según su continuidad.","Frecuentemente, poco, nunca","Revisa el uso de verbos en tiempos pasados (préterito) para presentar acontecimientos, según su continuidad.","Revisa el uso de verbos en tiempos pasados (copretérito) para presentar acontecimientos, según su continuidad.",,,NADA,1
288,Primaria,4,LENGUA MATERNA ESPA~NOL,Lenguaje y Comunicación,Literatura,Escritura y recreación de narraciones,Escribe narraciones de invención propia.,"Presenta diálogos reflexionando sobre el uso de palabras introductorias pertinentes (dijo, exclamó, reclamó) y considerando los tiempos verbales pertinentes al presente de los personajes.",Lo logra / En ocasiones lo logra / No lo logra,"Presenta diálogos reflexionando sobre el uso de palabras introductorias pertinentes (dijo, exclamó, reclamó).",Presenta diálogos considerando los tiempos verbales pertinentes al presente de los personajes.,,,NADA,1
